,번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
744,745,050320,에이앤티앤,74605,기계장비 및 관련 물품 도매업,"44,661,760","4,466,176,000",100,원(KRW),02-3443-5811,서울특별시 성동구 성수일로 10 서울숲 ITCT 지식산업센터 1104호,1424
745,746,312610,에이에프더블류,32802,일차전지 및 축전지 제조업,"10,128,444","5,064,222,000",500,원(KRW),,경상북도 칠곡군 왜관읍 공단로1길 51 ,1424
746,747,072990,에이치시티,137209,기타 과학기술 서비스업,"6,927,600","3,463,800,000",500,원(KRW),031-645-6300,경기도 이천시 마장면 서이천로578번길 74 &nbsp,1424
747,748,176440,에이치엔티,32602,전자부품 제조업,"85,739,345","8,573,934,500",100,원(KRW),031-739-7897,"서울특별시 송파구 정의로 67 (문정동,MK타워 6층)",1424
748,749,028300,에이치엘비,33101,선박 및 보트 건조업,"52,654,740","26,327,370,000",500,원(KRW),02-3453-4414,울산광역시 울주군  온산읍 당월로 216-53 ,1424
749,750,067630,에이치엘비생명과학,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업","47,070,453","23,535,226,500",500,원(KRW),02-2627-6700,"경기도 화성시 동탄첨단산업1로 51-9 8층(영천동,엠타워지식산업센터)",1424
750,751,043220,에이치엘비파워,32902,특수 목적용 기계 제조업,"91,115,377","45,557,688,500",500,원(KRW),02-544-3301,"서울특별시 강남구 도산대로 333 9층(신사동, 케이플러스타워) ",1424
751,752,239610,에이치엘사이언스,31007,기타 식품 제조업,"5,142,148","2,571,074,000",500,원(KRW),031-421-9903,경기도 화성시 봉담읍 동산재길 36 ,1424
752,753,353070,에이치엠씨제4호스팩,116601,금융 지원 서비스업,"4,310,000","431,000,000",100,원(KRW),02-3787-2268,서울특별시 영등포구 국제금융로2길 28 ,1424
753,754,044780,에이치케이,32902,특수 목적용 기계 제조업,"18,505,787","9,252,893,500",500,원(KRW),031-350-2800,경기도 화성시 양감면 사릅재길 117 ,1424
754,755,071670,에이테크솔루션,32902,특수 목적용 기계 제조업,"10,000,000","5,000,000,000",500,원(KRW),031-350-8167,경기도 화성시  정남면 가장로 277 ,1424
755,756,045660,에이텍,32603,컴퓨터 및 주변장치 제조업,"8,260,000","4,130,000,000",500,원(KRW),031-698-8800,"경기도 성남시 분당구 판교로 289 (삼평동, 에이텍빌딩) ",1424
756,757,224110,에이텍티앤,32604,통신 및 방송 장비 제조업,"5,340,000","2,670,000,000",500,원(KRW),031-698-8743,"경기도 성남시 분당구 판교로 289 (삼평동, 에이텍빌딩) ",1424
757,758,021080,에이티넘인베스트,116402,신탁업 및 집합투자업,"48,000,000","24,000,000,000",500,원(KRW),02  -555 -0781,서울 강남구 삼성동 168-26 제일빌딩 2층 ,1424
758,759,089530,에이티세미콘,32601,반도체 제조업,"88,515,812","44,257,906,000",500,원(KRW),070-5208-5055,경기도 이천시 마장면 서이천로 138 - ,1424
759,760,200470,에이팩트,137309,"그외 기타 전문, 과학 및 기술 서비스업","17,553,680","8,776,840,000",500,원(KRW),031-8046-1700,경기도 안성시 일죽면 서동대로 7280-26 &nbsp,1424
760,761,036180,에이프런티어,74605,기계장비 및 관련 물품 도매업,"17,600,341","8,800,170,500",500,원(KRW),02-2140-3300,"서울특별시 금천구 벚꽃로 244 1101호(가산동, 벽산디지털밸리5차)",1424
761,762,262260,에이프로,32809,기타 전기장비 제조업,"6,880,626","3,440,313,000",500,원(KRW),031-441-4001,경기도 군포시 엘에스로115번길 60 에이프로테크노피아빌딩 ,1424
762,763,109960,에이프로젠 H&G,74607,기타 전문 도매업,"178,695,217","89,347,608,500",500,원(KRW),031-782-3422,경기도 성남시 중원구 둔촌대로 545 한라시그마밸리 B1(지하1층) ,1424
763,764,089970,에이피티씨,32902,특수 목적용 기계 제조업,"23,234,595","2,323,459,500",100,원(KRW),031-645-1000,경기도 이천시 마장면 서이천로 58-47 ,1424
764,765,230240,에치에프알,32604,통신 및 방송 장비 제조업,"11,982,020","5,991,010,000",500,원(KRW),031-712-7768,"경기도 성남시 분당구 성남대로43번길 10 하나EZ타워 5층(구미동, 하나EZ타워)",1424
765,766,064510,에코마이스터,32902,특수 목적용 기계 제조업,"26,691,608","13,345,804,000",500,원(KRW),032-576-0501,인천광역시 서구 정서진로 117 &nbsp,1424
766,767,230360,에코마케팅,137103,광고업,"16,198,937","1,619,893,700",100,원(KRW),02-2182-1100,"서울특별시 강남구 학동로 343 14층(논현동, 포바강남타워)",1424
767,768,038870,에코바이오,147401,사업시설 유지·관리 서비스업,"11,610,994","5,805,497,000",500,원(KRW),02-3483-2900,서울 서초구 서초동 1302-7 토탈에코빌딩 ,1424
768,769,128540,에코캡,33003,자동차 신품 부품 제조업,"14,558,800","1,455,880,000",100,원(KRW),052-264-1681,울산광역시 울주군 언양읍 반천반송산업로 137-66 ,1424
769,770,086520,에코프로,32004,기타 화학제품 제조업,"22,090,191","11,045,095,500",500,원(KRW),043-240-7700,충청북도 청주시 청원구 오창읍 과학산업2로 587-40 주식회사 에코프로 ,1424
770,771,247540,에코프로비엠,32802,일차전지 및 축전지 제조업,"20,964,166","10,482,083,000",500,원(KRW),043-240-7700,충청북도 청주시 청원구 오창읍 2산단로 100 송대리 329 ,1424
771,772,038110,에코플라스틱,33003,자동차 신품 부품 제조업,"25,669,370","12,834,685,000",500,원(KRW),054-770-3255,경상북도 경주시  공단로69번길 30 에코플라스틱(주) ,1424
772,773,073540,에프알텍,32604,통신 및 방송 장비 제조업,"11,400,000","5,700,000,000",500,원(KRW),031-470-1515,"경기도 안양시 동안구 시민대로327번길 11-25 (관양동,에프알텍타워)",1424
773,774,064090,에프앤리퍼블릭,74608,상품 종합 도매업,"76,801,909","38,400,954,500",500,원(KRW),032-326-8052,서울특별시 강남구 봉은사로 214 8F(역삼동),1424
774,775,036810,에프에스티,32602,전자부품 제조업,"20,233,814","10,116,907,000",500,원(KRW),031-370-0700,경기도 화성시 동탄면 동탄산단6길 15-23 에프에스티,1424
775,776,173940,에프엔씨엔터,189001,창작 및 예술관련 서비스업,"14,364,880","7,182,440,000",500,원(KRW),070-4659-0222,서울시 강남구 청담동 111 ,1424
776,777,083500,에프엔에스테크,32902,특수 목적용 기계 제조업,"8,385,722","4,192,861,000",500,원(KRW),041-584-4460,충청남도 천안시 서북구 직산읍 4산단2길 19 ,1424
777,778,054940,엑사이엔씨,64204,실내건축 및 건축마무리 공사업,"33,173,548","16,586,774,000",500,원(KRW),(02) 3289-5100,서울특별시 구로구  디지털로 288 ,1424
778,779,950130,엑세스바이오,32103,의료용품 및 기타 의약 관련제품 제조업,"33,577,659",0,0,미국달러(USD),1-732-873-4040,"65 Clyde Road Suite A Somerset NJ 08873, USA ",1424
779,780,205100,엑셈,105802,소프트웨어 개발 및 공급업,"33,882,273","3,388,227,300",100,원(KRW),02-6203-6300,"서울특별시 강서구 양천로 583 에이동 1208호(염창동, 우림비즈니스센터)",1424
780,781,070300,엑스큐어,105802,소프트웨어 개발 및 공급업,"7,366,074","3,683,037,000",500,원(KRW),02-2082-0777,서울시 구로구 디지털로 306 대륭포스트타워2차 508호 ,1424
781,782,092870,엑시콘,32902,특수 목적용 기계 제조업,"10,374,180","5,187,090,000",500,원(KRW),031-696-3100,"경기도 성남시 분당구 판교로 255번길 28, 7층(삼평동, 디에이치케이솔루션빌딩) &nbsp",1424
782,783,317870,엔바이오니아,33309,그외 기타 제품 제조업,"7,485,555","3,742,777,500",500,원(KRW),031-716-3670,"경기도 성남시 분당구 정자일로 158, 604호 ",1424
783,784,067570,엔브이에이치코리아,33003,자동차 신품 부품 제조업,"29,591,785","15,754,388,000",500,원(KRW),054-779-1822,울산광역시 북구 모듈화산업로 207-14엔브이에이치코리아(주) ,1424
784,785,101400,엔시트론,32601,반도체 제조업,"27,696,580","13,848,290,000",500,원(KRW),02-6340-1000,"경기도 성남시 분당구 판교로255번길 35 (삼평동, 실리콘파크 A동 8층)",1424
785,786,217820,엔에스,32902,특수 목적용 기계 제조업,"9,800,000","4,900,000,000",500,원(KRW),043-218-7056,충청북도 청주시 청원구 오창읍 각리1길 27 ,1424
786,787,031860,엔에스엔,74608,상품 종합 도매업,"43,106,126","21,553,063,000",500,원(KRW),02-2106-5417,"서울특별시 강남구 봉은사로 207 8층(논현동, KJ타워)",1424
787,788,310840,엔에이치스팩13호,116601,금융 지원 서비스업,"3,420,000","342,000,000",100,원(KRW),02-750-5519,서울특별시 영등포구 여의대로 60 &nbsp,1424
788,789,319400,엔에이치스팩14호,116601,금융 지원 서비스업,"8,620,000","862,000,000",100,원(KRW),02-750-5777,서울특별시 영등포구 여의대로 60 8층,1424
789,790,339950,엔에이치스팩15,116601,금융 지원 서비스업,"6,540,000","654,000,000",100,원(KRW),02-750-5742,서울특별시 영등포구 여의대로 60 8층,1424
790,791,353190,엔에이치스팩16호,116601,금융 지원 서비스업,"4,310,000","431,000,000",100,원(KRW),,서울특별시 영등포구 여의대로 60 ,1424
791,792,208860,엔지스테크널러지,105802,소프트웨어 개발 및 공급업,"10,046,564","5,023,282,000",500,원(KRW),02-1522-9060,서울특별시 성동구 아차산로 49 서울숲코오롱디지털타워 3차 10층 ,1424
792,793,183490,엔지켐생명과학,32101,기초 의약물질 및 생물학적 제제 제조업,"8,224,508","4,112,254,000",500,원(KRW),043-652-2845,충청북도 제천시 바이오밸리로 59 &nbsp,1424
793,794,182400,엔케이맥스,32101,기초 의약물질 및 생물학적 제제 제조업,"32,709,634","16,354,817,000",500,원(KRW),031-603-9218,"경기도 성남시 분당구 돌마로 172 정자동, 헬스케어혁신파크 1층및6층 ",1424
794,795,206400,엔터메이트,105802,소프트웨어 개발 및 공급업,"83,314,615","8,331,461,500",100,원(KRW),02-3461-2150,서울특별시 강남구 도곡로 176 크리스빌딩 2층 ,1424
795,796,069410,엔텔스,105802,소프트웨어 개발 및 공급업,"6,899,227","3,449,613,500",500,원(KRW),02-3218-1200,"서울특별시 강남구 학동로 401 15층(청담동, 금하빌딩)",1424
796,797,198080,엔피디,32602,전자부품 제조업,"21,535,185","10,767,592,500",500,원(KRW),031-497-8112,경기도 안산시 단원구 시화벤처로 515 &nbsp,1424
797,798,048830,엔피케이,32002,합성고무 및 플라스틱 물질 제조업,"18,723,923","9,361,961,500",500,원(KRW),031-730-0650,경기도 성남시 중원구  갈마치로 215 금강펜테리움IT타워 A-708,1424
798,799,096870,엘디티,32601,반도체 제조업,"6,678,400","3,339,200,000",500,원(KRW),041-520-7300,충청남도 천안시 서북구  한들1로 126-33 ,1424
799,800,061970,엘비세미콘,32601,반도체 제조업,"43,784,592","21,892,296,000",500,원(KRW),031-680-1600,경기도 평택시 청북면 청북산단로 138 ,1424
800,801,138690,엘아이에스,32902,특수 목적용 기계 제조업,"16,026,971","8,013,485,500",500,원(KRW),070-7162-7205,경기도 안양시 동안구 엘에스로116번길 91 (호계동) ,1424
801,802,290650,엘앤씨바이오,32102,의약품 제조업,"7,292,336","3,692,166,000",500,원(KRW),031-776-2975,"경기도 성남시 중원구 둔촌대로 474, 605호, 606호, 607호 (선텍시티) ",1424
802,803,066970,엘앤에프,32802,일차전지 및 축전지 제조업,"24,758,729","12,379,364,500",500,원(KRW),(053)592-7300,대구광역시 달서구  달서대로91길 120 ,1424
803,804,156100,엘앤케이바이오,32701,의료용 기기 제조업,"12,466,416","6,233,208,000",500,원(KRW),02-6717-1911,경기도 용인시 기흥구 동백중앙로16번길 16-25 201호 &nbsp,1424
804,805,073110,엘엠에스,32602,전자부품 제조업,"8,895,755","4,522,877,500",500,원(KRW),031-421-2345,경기도 평택시 진위면 진위산단로 53-73 ,1424
805,806,083310,엘오티베큠,32902,특수 목적용 기계 제조업,"13,599,938","6,799,969,000",500,원(KRW),031-677-4431,경기도 오산시 지곶중앙로 1-20 -,1424
806,807,297890,엘이티,32902,특수 목적용 기계 제조업,"7,109,450","3,554,725,000",500,원(KRW),041-549-8850,충청남도 아산시 음봉면 연암율금로 77-26 ,1424
807,808,037950,엘컴텍,32602,전자부품 제조업,"84,447,519","42,223,759,500",500,원(KRW),031-379-5258,경기 평택시 진위면 갈곶리 110-1 ,1424
808,809,170920,엘티씨,32001,기초 화학물질 제조업,"7,519,943","3,759,971,500",500,원(KRW),031-383-6525,경기도 화성시 마도면 청원산단8길 114 (경기화성바이오밸리) ,1424
809,810,058630,엠게임,105802,소프트웨어 개발 및 공급업,"19,543,877","9,771,938,500",500,원(KRW),02-523-5854,서울특별시 금천구  가산디지털1로 145 에이스하이엔드타워3차 ,1424
810,811,019590,엠벤처투자,116402,신탁업 및 집합투자업,"60,142,180","30,071,090,000",500,원(KRW),02  -6000-5537,서울특별시 강남구  테헤란로87길 36 도심공항타워 2503호,1424
811,812,097520,엠씨넥스,32605,영상 및 음향기기 제조업,"17,863,482","8,931,741,000",500,원(KRW),02-2025-3600,"서울특별시 금천구  디지털로9길 47 (가산동, 한신IT타워2차 11층) ",1424
812,813,179290,엠아이텍,32701,의료용 기기 제조업,"30,423,558","15,211,779,000",500,원(KRW),070-4304-7443,"경기도 평택시 진위면 하북2길 174 (진위면, 주식회사엠아이텍) ",1424
813,814,009780,엠에스씨,31007,기타 식품 제조업,"17,600,000","8,800,000,000",500,원(KRW),055 -389 -1001,경남 양산시 웅상읍 소주리 439-13 ,1424
814,815,123040,엠에스오토텍,33003,자동차 신품 부품 제조업,"34,284,846","17,142,423,000",500,원(KRW),054-7701810,경상북도 경주시  내남면 포석로 16-9 ,1424
815,816,032790,엠젠플러스,74605,기계장비 및 관련 물품 도매업,"18,137,619","9,068,809,500",500,원(KRW),02-3412-8777,서울특별시 서초구 효령로 83 엠젠플러스빌딩 (방배동),1424
816,817,033160,엠케이전자,32602,전자부품 제조업,"21,807,689","10,903,844,500",500,원(KRW),031-330-1900,경기도 용인시 처인구 포곡읍 금어로 405 엠케이전자 ,1424
817,818,347890,엠투아이,32702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","8,399,102","839,910,200",100,원(KRW),031-465-3366,경기도 안양시 만안구 전파로24번길 35-11(안양동) &nbsp,1424
818,819,259630,엠플러스,32902,특수 목적용 기계 제조업,"5,183,713","2,591,856,500",500,원(KRW),043-272-7079,충청북도 청주시 흥덕구 옥산면 옥산산단로 27 엠플러스 사옥 ,1424
819,820,115960,연우,32202,플라스틱제품 제조업,"12,398,000","6,199,000,000",500,원(KRW),032-575-8811,인천광역시 서구 가좌로84번길 13 &nbsp,1424
820,821,007530,영신금속,32509,기타 금속 가공제품 제조업,"12,832,968","6,416,484,000",500,원(KRW),02  -855 -6960,경기도 평택시  포승읍 포승공단로118번길 118 ,1424
821,822,143540,영우디에스피,32902,특수 목적용 기계 제조업,"35,073,845","17,536,922,500",500,원(KRW),041-418-4871,충청남도 천안시 서북구 성거읍 새터길 164 -,1424
822,823,036560,영풍정밀,32901,일반 목적용 기계 제조업,"15,750,000","7,875,000,000",500,원(KRW),02-519-3523,서울특별시 강남구 강남대로 542 ,1424
823,824,265560,영화테크,33003,자동차 신품 부품 제조업,"5,345,090","2,672,545,000",500,원(KRW),041-585-2685,충청남도 아산시 둔포면 아산밸리로 132 &nbsp,1424
824,825,036000,예림당,105801,"서적, 잡지 및 기타 인쇄물 출판업","23,034,277","11,617,138,500",500,원(KRW),02-566-1004,"서울시 성동구 아차산로 153(성수동2가, 예림출판문화센터) ",1424
825,826,250930,예선테크,32202,플라스틱제품 제조업,"33,000,440","3,300,044,000",100,원(KRW),02-783-1101,경기도 군포시 공단로 356-3 (지번 주소: 경기도 군포시 산본1동 1026-2) ,1424
826,827,053280,예스24,74709,무점포 소매업,"17,200,000","8,600,000,000",500,원(KRW),02-3215-9100,서울특별시 영등포구 은행로 11 ,1424
827,828,122640,예스티,32902,특수 목적용 기계 제조업,"14,421,149","7,210,574,500",500,원(KRW),031-612-3337,경기도 평택시 진위면 마산12로 27 예스티 ,1424
829,830,045060,오공,32004,기타 화학제품 제조업,"16,941,974","8,470,987,000",500,원(KRW),032 -822 -5050,인천광역시 남동구  함박뫼로 341 ,1424
830,831,080520,오디텍,32601,반도체 제조업,"11,746,609","5,873,304,500",500,원(KRW),063-263-7626,전라북도 완주군 봉동읍 완주산단5로 87 ,1424
831,832,039830,오로라,137302,전문디자인업,"10,762,890","5,381,445,000",500,원(KRW),02  -3420-4114,서울특별시 강남구 테헤란로 624 오로라빌딩 ,1424
832,833,046120,오르비텍,137209,기타 과학기술 서비스업,"23,790,573","11,895,286,500",500,원(KRW),02-852-2223,"서울특별시 금천구 범안로 1130 8층(가산동, 가산디지털엠파이어)",1424
833,834,014940,오리엔탈정공,32901,일반 목적용 기계 제조업,"45,573,661","22,786,830,500",500,원(KRW),(051)202-0101,부산광역시 강서구  녹산산단289로 6 오리엔탈정공,1424
834,835,065500,오리엔트정공,33003,자동차 신품 부품 제조업,"117,214,562","58,607,281,000",500,원(KRW),031-730-6707,경상북도 구미시 수출대로 9-1 26-5(공단동),1424
835,836,010470,오리콤,137103,광고업,"11,704,050","11,704,050,000","1,000",원(KRW),02-510-4077,서울특별시 강남구  언주로 726 두산빌딩 ,1424
836,837,053980,오상자이엘,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","17,747,882","8,873,941,000",500,원(KRW),032-524-0700,인천 부평구 부평동 604-15 ,1424
837,838,052420,오성첨단소재,32202,플라스틱제품 제조업,"61,966,225","31,044,396,500",500,원(KRW),063-839-8780,전라북도 익산시 석암로17길 104 오성첨단소재(주) ,1424
838,839,241790,오션브릿지,32902,특수 목적용 기계 제조업,"10,002,634","5,001,317,000",500,원(KRW),031-8052-9030,경기도 안성시 양성면 동항공단길 49 ,1424
839,840,039200,오스코텍,32102,의약품 제조업,"29,200,311","14,600,155,500",500,원(KRW),031-628-7613,"경기도 성남시 분당구  대왕판교로 700 A-901(삼평동,코리아바이오파크)",1424
840,841,226400,오스테오닉,32701,의료용 기기 제조업,"12,617,051","6,308,525,500",500,원(KRW),02-6902-8400,서울특별시 구로구 디지털로29길 38 에이스테크노타워Ⅲ1206호 ,1424
841,842,031510,오스템,33003,자동차 신품 부품 제조업,"26,000,000","13,000,000,000",500,원(KRW),041 -559 -2340,충청남도 천안시 동남구 수신면 수신로 739 ,1424
842,843,048260,오스템임플란트,32701,의료용 기기 제조업,"14,285,717","7,142,858,500",500,원(KRW),02-2016-7000,서울특별시 강서구 마곡중앙12로 3 오스템임플란트  ,1424
843,844,138080,오이솔루션,32604,통신 및 방송 장비 제조업,"10,624,095","5,312,047,500",500,원(KRW),062-602-7631,광주광역시 북구 첨단연신로30번길 53 -,1424
844,845,080580,오킨스전자,32602,전자부품 제조업,"7,338,234","3,669,117,000",500,원(KRW),031-460-3500,"경기도 의왕시 오전공업길 13, 6층 (오전동, 벽산선영테크노피아) &nbsp",1424
845,846,067170,오텍,33004,자동차 재제조 부품 제조업,"15,391,605","7,695,802,500",500,원(KRW),02-2628-0660,충청남도 예산군  고덕면 예덕로 1033-36 ,1424
846,847,173130,오파스넷,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","4,025,902","2,012,951,000",500,원(KRW),02-568-6727,"서울특별시 강남구 테헤란로 512 , 10층(대치동, 신안빌딩) ",1424
847,848,049480,오픈베이스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","31,422,383","15,711,191,500",500,원(KRW),02  -3404-5601,"서울특별시 서초구  매헌로 16 (양재동, 하이브랜드 리빙관4층)",1424
848,849,244460,올리패스,32101,기초 의약물질 및 생물학적 제제 제조업,"15,969,001","7,984,500,500",500,원(KRW),031-8060-8100,경기도 용인시 기흥구 동백중앙로16번길 16-4 에이스동백타워1동 20층,1424
849,850,226950,올릭스,137001,자연과학 및 공학 연구개발업,"6,568,921","3,284,460,500",500,원(KRW),031-779-8400,경기도 수원시 영통구 대학4로 17 에이스광교타워1 1014호 &nbsp,1424
850,851,057540,옴니시스템,32702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","42,410,117","21,205,058,500",500,원(KRW),031-883-5400,경기도 여주군  가남면 연삼로 284 ,1424
851,852,057680,옴니텔,105802,소프트웨어 개발 및 공급업,"40,494,755","20,247,377,500",500,원(KRW),02-2181-8000,서울특별시 동작구 여의대방로62길 1 3층,1424
852,853,082210,옵트론텍,32703,사진장비 및 광학기기 제조업,"23,675,951","11,837,975,500",500,원(KRW),(042)360-1510,경상남도 창원시 의창구 평산로8번길 19-15 (팔용동),1424
853,854,109080,옵티시스,32604,통신 및 방송 장비 제조업,"5,636,000","2,818,000,000",500,원(KRW),031-719-8033,경기도 성남시 수정구 산성대로 305 삼부르네상스파크Ⅱ 3층 ,1424
854,855,153710,옵티팜,32103,의료용품 및 기타 의약 관련제품 제조업,"14,377,758","7,188,879,000",500,원(KRW),043-249-7500,충청북도 청주시 흥덕구 오송읍 오송생명6로 63 ,1424
855,856,122990,와이솔,32602,전자부품 제조업,"28,171,941","14,085,970,500",500,원(KRW),070-7837-6240,경기도 오산시 가장로 531-7(가장동) ,1424
856,857,232140,와이아이케이,32902,특수 목적용 기계 제조업,"64,256,976","6,425,697,600",100,원(KRW),031-8038-8200,"경기도 성남시 분당구 판교로255번길 28 (삼평동, 디에이치케이솔루션빌딩 7층)",1424
857,858,067900,와이엔텍,53802,폐기물 처리업,"18,199,659","9,099,829,500",500,원(KRW),061-690-6933,전라남도 여수시  여수산단로 1232 ,1424
858,859,155650,와이엠씨,32602,전자부품 제조업,"19,974,358","9,987,179,000",500,원(KRW),041-538-5200,충청남도 아산시  둔포면 아산밸리중앙로 154-25 ,1424
859,860,251370,와이엠티,32001,기초 화학물질 제조업,"7,405,200","3,702,600,000",500,원(KRW),032-821-8277,"인천광역시 남동구 남동동로153번길 30(고잔동, 남동공단) ",1424
860,861,066430,와이오엠,74607,기타 전문 도매업,"15,855,736","7,927,868,000",500,원(KRW),051-972-7175,부산광역시 강서구 생곡산단1로24번길 51 (생곡동),1424
861,862,193250,와이제이엠게임즈,32602,전자부품 제조업,"54,147,235","5,414,723,500",100,원(KRW),02-591-1310,서울특별시 강남구 테헤란로77길 11-9 삼성타워 8층 ,1424
862,863,273060,와이즈버즈,137103,광고업,"47,239,312","4,723,931,200",100,원(KRW),02-750-5519,"서울특별시 강남구 테헤란로 317 17층(역삼동, 동훈타워)",1424
863,864,019210,와이지-원,32509,기타 금속 가공제품 제조업,"30,573,819","15,286,909,500",500,원(KRW),032 -526 -0909,인천 부평구 청천동 68번지 ,1424
864,865,122870,와이지엔터테인먼트,105902,오디오물 출판 및 원판 녹음업,"18,281,909","9,140,954,500",500,원(KRW),02-3142-1104,서울특별시 마포구  희우정로1길 3 ,1424
865,866,332570,와이팜,32602,전자부품 제조업,"37,141,356","18,570,678,000",500,원(KRW),031-628-7811,"경기도 성남시 분당구 판교로 255 9-22 705, 706호 ",1424
866,867,079000,와토스코리아,32202,플라스틱제품 제조업,"7,200,000","3,600,000,000",500,원(KRW),061-392-3685,전라남도 장성군  동화면 전자농공단지1길 31 ,1424
867,868,114630,우노앤컴퍼니,32005,화학섬유 제조업,"13,573,965","6,886,982,500",500,원(KRW),063-261-7555,전라북도 완주군  봉동읍 완주산단3로 158-15 우노앤컴퍼니 ,1424
868,869,032820,우리기술,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","104,606,484","52,303,242,000",500,원(KRW),02  -2102-5100,"서울특별시 마포구 월드컵북로56길 9 4층(상암동, 우리기술빌딩)",1424
870,871,115440,우리넷,32604,통신 및 방송 장비 제조업,"9,136,944","4,568,472,000",500,원(KRW),031-276-5101,경기도 안양시 동안구 시민대로 353(관양동) ,1424
871,872,046970,우리로,74607,기타 전문 도매업,"27,519,580","13,759,790,000",500,원(KRW),062-602-8100,광주광역시 광산구  평동산단6번로 102-22 ,1424
872,873,082850,우리바이오,32804,전구 및 조명장치 제조업,"44,917,878","22,458,939,000",500,원(KRW),031-494-8828,"경기도 안산시 단원구 성곡로 79 (성곡동,608블럭30롯트)",1424
873,874,215360,우리산업,33003,자동차 신품 부품 제조업,"9,132,163","4,566,081,500",500,원(KRW),031-201-6522,경기도 용인시 기흥구 지삼로 89 ,1424
874,875,072470,우리산업홀딩스,33003,자동차 신품 부품 제조업,"18,887,341","9,443,670,500",500,원(KRW),031)201-6522,경기도 용인시 기흥구 지삼로 89 ,1424
875,876,073560,우리손에프앤지,31001,"도축, 육류 가공 및 저장 처리업","69,237,643","34,618,821,500",500,원(KRW),041-563-1055,전라남도 나주시 반남면 장송길 73 ,1424
876,877,153490,우리이앤엘,32601,반도체 제조업,"49,900,000","24,950,000,000",500,원(KRW),031-599-3143,경기도 안산시 단원구  성곡로 79 ,1424
877,878,037400,우리조명,32804,전구 및 조명장치 제조업,"24,923,346","12,461,673,000",500,원(KRW),031 -492 -1012,경기도 안산시 단원구  성곡로 79 ,1424
878,879,101170,우림기계,32901,일반 목적용 기계 제조업,"13,500,000","6,750,000,000",500,원(KRW),055-260-0300,경상남도 창원시 성산구  남면로 613 우림기계 ,1424
879,880,066590,우수AMS,33003,자동차 신품 부품 제조업,"24,994,303","12,497,151,500",500,원(KRW),(055)2745011,경남 창원시 신촌동 192-4번지 ,1424
880,881,103840,우양,31003,"과실, 채소 가공 및 저장 처리업","12,858,000","1,285,800,000",100,원(KRW),041-956-7171,충청남도 서천군 장항읍 장산로 357 ,1424
881,882,046940,우원개발,64201,기반조성 및 시설물 축조관련 전문공사업,"18,074,350","9,037,175,000",500,원(KRW),02-3490-1996,서울특별시 서초구 강남대로 279 백향빌딩 8층 ,1424
882,883,215380,우정바이오,137001,자연과학 및 공학 연구개발업,"11,222,940","5,611,470,000",500,원(KRW),031-888-9369,경기도 수원시 영통구 광교로 145 차세대융합기술원 B동 3층,1424
883,884,065680,우주일렉트로,32602,전자부품 제조업,"9,934,220","4,967,110,000",500,원(KRW),031-371-3700,경기도 화성시  양감면 초록로532번길 61 ,1424
884,885,018620,우진비앤지,32102,의약품 제조업,"26,518,032","13,259,016,000",500,원(KRW),02)795-2361,경기도 화성시 양감면 정문송산로 230 ,1424
885,886,032940,원익,74605,기계장비 및 관련 물품 도매업,"18,193,230","9,096,615,000",500,원(KRW),02  -555 -4939,경기도 성남시 분당구 판교로255번길 20 원익빌딩 ,1424
886,887,240810,원익IPS,32902,특수 목적용 기계 제조업,"49,083,901","24,541,950,500",500,원(KRW),031-8047-7222,경기도 평택시 진위면 진위산단로 75 ,1424
887,888,074600,원익QnC,32301,유리 및 유리제품 제조업,"26,288,000","13,144,000,000",500,원(KRW),054-472-6138,경북 구미시 구포동 637 ,1424
888,889,104830,원익머트리얼즈,32001,기초 화학물질 제조업,"12,608,000","6,304,000,000",500,원(KRW),043-210-4600,충청북도 청주시 청원구 오창읍 양청3길 30 -,1424
889,890,014190,원익큐브,74607,기타 전문 도매업,"35,399,906","17,699,953,000",500,원(KRW),02-530-8800,경기도 성남시 분당구  판교로255번길 20 원익빌딩,1424
891,892,012620,원일특강,32401,1차 철강 제조업,"4,400,000","2,200,000,000",500,원(KRW),031-434-1221,"경기도 시흥시  공단2대로256번길 4 (정왕동, 시화공단3바104)",1424
892,893,008370,원풍,32202,플라스틱제품 제조업,"12,000,000","6,000,000,000",500,원(KRW),02-3665-5321,서울특별시 강서구 공항대로 343 원풍빌딩 9층,1424
893,894,008290,원풍물산,31401,봉제의복 제조업,"40,693,679","20,346,839,500",500,원(KRW),02-569-0433(#310),인천 서구 가좌동 539-3 ,1424
894,895,101160,월덱스,32602,전자부품 제조업,"16,510,993","8,255,496,500",500,원(KRW),054-456-9980,경상북도 구미시  4공단로7길 53-77 ,1424
